cellId,ÉÏÐÐÐ¡ÇøÁ÷Á¿£¨MB£©,ÏÂÐÐÐ¡ÇøÁ÷Á¿£¨MB£©,ÊÇ·ñÎªµÀÂ·Ð¡Çø
460-00-661550-13,70.11730957,629.3060303,·ñ
460-00-661534-13,265.7141113,1509.584473,·ñ
460-00-718788-11,463.809082,4736.562988,·ñ
460-00-718400-13,303.2657471,2579.510132,·ñ
460-00-703517-13,89.75683594,690.3256836,·ñ
460-00-661428-13,57.88842773,797.0404053,·ñ
460-00-718672-12,216.3676758,2337.235352,·ñ
460-00-718779-11,101.9688721,921.4337158,·ñ
460-00-661307-13,114.6219482,1010.834961,·ñ
460-00-703795-11,522.8028564,7113.997559,·ñ
460-00-718421-13,82.31896973,922.5888672,·ñ
460-00-703549-12,116.798584,1277.09436,·ñ
460-00-704698-11,155.2965088,1984.490967,·ñ
460-00-704718-21,347.4371338,772.2220459,·ñ
460-00-661540-11,171.3212891,1384.874146,·ñ
460-00-704657-11,7.787719727,30.46606445,·ñ
460-00-718494-11,112.1691895,908.7911377,·ñ
460-00-661470-13,249.3293457,1570.248413,·ñ
460-00-661514-11,137.8254395,1232.709229,·ñ
460-00-718972-12,279.7490234,2354.054321,·ñ
460-00-661448-12,565.2299805,9786.053711,·ñ
460-00-703830-12,122.2857666,1229.749878,·ñ
460-00-703788-11,548.4093018,4395.867188,·ñ
460-00-661486-13,541.0042725,5536.302612,·ñ
460-00-704635-11,55.41101074,391.6553955,·ñ
460-00-661607-22,1887.97229,26046.34827,·ñ
460-00-661313-111,348.7030029,2810.717041,·ñ
460-00-708370-21,33.84716797,196.4036865,·ñ
460-00-708514-12,214.2785645,1699.802124,·ñ
460-00-661354-13,80.15039063,702.2270508,·ñ
460-00-703616-13,121.6159668,1036.094482,·ñ
460-00-203481-131,0,0,·ñ
460-00-703756-11,7.712402344,97.87365723,·ñ
460-00-661321-11,90.77539063,974.7678223,·ñ
460-00-661542-12,268.8309326,2605.833374,·ñ
460-00-703878-13,42.41540527,354.1003418,·ñ
460-00-718596-12,27.19995117,476.6126709,·ñ
460-00-708507-21,123.0476074,137.1074219,·ñ
460-00-661279-12,24.83837891,1258.116455,·ñ
460-00-704516-21,84.17224121,772.5559082,·ñ
460-00-703661-11,28.71618652,152.5548096,·ñ
460-00-661336-13,0.951049805,5.381347656,·ñ
460-00-718429-11,102.8083496,926.8435059,·ñ
